Province,eclass_public,eclass_private,eclass_total,enumber_public,enumber_private,enumber_total,e_male_public,e_female_public,e_total_public,e_male_private,e_female_private,e_total_private,e_total,et_male_public,et_female_public,et_total_public,et_male_private,et_female_private,et_total_private,et_total,hclass_public,hclass_private,hclass_total,hnumber_public,hnumber_private,hnumber_total,h_male_public,h_female_public,h_total_public,h_male_private,h_female_private,h_total_private,h_total,Okul Türü_x,hs_religious_male_public,hs_religious_female_public,hs_religious_total_public,hs_religious_male_private,hs_religious_female_private,hs_religious_total_private,hs_religious_total,Okul Türü_y,h_male_occupational_public,h_female_occupational_public,h_total_occupational_public,h_male_occupational_private,h_male_occupational_private,h_total_ocupational_private,h_occupational_total,Okul Türü,h_male_normal_public,h_female_normal_public,h_total_normal_public,h_male_normal_private,h_female_normal_private,h_total_normal_private,h_normal_total,ht_male_public,ht_female_public,ht_total_public,ht_male_private,ht_female_private,ht_total_private,ht_toplam,mclass_public,mclass_private,mclass_total,mnumber_public,mnumber_private,mnumber_total,m_male_public,m_female_public,m_total_public,m_male_private,m_female_private,m_total_private,m_total,mt_male_public,mt_female_public,mt_total_public,mt_male_private,mt_female_private,mt_total_private,mt_total,pclass_public,pclass_private,pclass_toplam,pnumber_public,pnumber_private,pnumber_total,p_male_public,p_female_public,p_total_public,p_male_private,p_female_private,p_total_private,p_total,pt_male_public,pt_female_public,pt_total_public,pt_male_private,pt_female_private,pt_total_private,pt_total
ADANA,1456,744,2200,638,150,788,22426,21309,43735,4215,3557,7772,51507,203,2121,2324,14,543,557,2881,4938,1144,6082,233,68,301,67215,60453,127668,8873,5541,14414,142082,Din Öğretimi,4736,6512,11248,0,0,0,11248,Mesleki ve Teknik Ortaöğretim,33172,16150,49322,4623,1644,6267,55589,Genel Ortaöğretim,53095,59103,112198,4250,3897,8147,120345,4461,4334,8795,538,870,1408,10203,4608,687,5295,343,41,384,76980,73617,150597,4662,4084,8746,159343,3944,5337,9281,214,513,727,10008,1456,744,2200,638,150,788,22426,21309,43735,4215,3557,7772,51507,203,2121,2324,14,543,557,2881
ADIYAMAN,579,180,759,375,35,410,8659,8078,16737,766,583,1349,18086,121,647,768,7,131,138,906,1710,222,1932,95,21,116,25342,22711,48053,1725,1006,2731,50784,Din Öğretimi,3811,4624,8435,0,0,0,8435,Mesleki ve Teknik Ortaöğretim,11918,6386,18304,812,270,1082,19386,Genel Ortaöğretim,17125,16677,33802,913,736,1649,35451,2199,1120,3319,199,140,339,3658,2135,83,2218,219,13,232,23753,22598,46351,659,506,1165,47516,2222,1667,3889,75,82,157,4046,579,180,759,375,35,410,8659,8078,16737,766,583,1349,18086,121,647,768,7,131,138,906
DİYARBAKIR,1686,256,1942,1047,70,1117,25021,23239,48260,1765,1509,3274,51534,341,1872,2213,6,220,226,2439,3616,1168,4784,186,76,262,59033,60088,119121,11610,6588,18198,137319,Din Öğretimi,9849,8667,18516,0,0,0,18516,Mesleki ve Teknik Ortaöğretim,22157,17001,39158,7204,3502,10706,49864,Genel Ortaöğretim,49385,47413,96798,4406,3086,7492,104290,3967,3037,7004,655,585,1240,8244,3397,474,3871,457,37,494,70308,67956,138264,3609,2885,6494,144758,4781,4491,9272,220,268,488,9760,1686,256,1942,1047,70,1117,25021,23239,48260,1765,1509,3274,51534,341,1872,2213,6,220,226,2439
GAZİANTEP,1657,522,2179,675,93,768,28937,27087,56024,2182,1881,4063,60087,214,2123,2337,7,389,396,2733,5369,1052,6421,224,83,307,76637,68912,145549,6461,4988,11449,156998,Din Öğretimi,6479,8165,14644,0,0,0,14644,Mesleki ve Teknik Ortaöğretim,36816,17373,54189,1516,351,1867,56056,Genel Ortaöğretim,64147,66431,130578,4945,4637,9582,140160,4664,4218,8882,675,645,1320,10202,5838,577,6415,371,37,408,99919,97404,197323,3184,2878,6062,203385,4677,6586,11263,200,401,601,11864,1657,522,2179,675,93,768,28937,27087,56024,2182,1881,4063,60087,214,2123,2337,7,389,396,2733
HATAY,1396,628,2024,683,128,811,23986,22570,46556,2838,2299,5137,51693,195,1841,2036,12,405,417,2453,3662,924,4586,174,71,245,59609,57039,116648,5809,4611,10420,127068,Din Öğretimi,5918,8319,14237,0,0,0,14237,Mesleki ve Teknik Ortaöğretim,27123,16824,43947,1351,666,2017,45964,Genel Ortaöğretim,41579,44264,85843,4458,3945,8403,94246,3929,3247,7176,508,523,1031,8207,3967,473,4440,431,33,464,69840,66469,136309,2699,2427,5126,141435,4147,5001,9148,184,317,501,9649,1396,628,2024,683,128,811,23986,22570,46556,2838,2299,5137,51693,195,1841,2036,12,405,417,2453
MALATYA,558,246,804,310,53,363,6996,6577,13573,1188,1093,2281,15854,83,709,792,9,87,96,888,2032,723,2755,113,47,160,24435,23963,48398,4912,2828,7740,56138,Din Öğretimi,2906,3953,6859,0,0,0,6859,Mesleki ve Teknik Ortaöğretim,8634,4036,12670,2507,897,3404,16074,Genel Ortaöğretim,19944,21623,41567,2405,1931,4336,45903,2473,1590,4063,358,419,777,4840,1712,228,1940,219,21,240,24338,23397,47735,1633,1385,3018,50753,2018,1985,4003,155,154,309,4312,558,246,804,310,53,363,6996,6577,13573,1188,1093,2281,15854,83,709,792,9,87,96,888
KAHRAMANMARAŞ,876,204,1080,479,53,532,14232,13363,27595,1148,973,2121,29716,158,1031,1189,7,135,142,1331,2882,483,3365,156,40,196,38631,37426,76057,3352,2226,5578,81635,Din Öğretimi,4031,7446,11477,0,0,0,11477,Mesleki ve Teknik Ortaöğretim,17800,8419,26219,1657,540,2197,28416,Genel Ortaöğretim,30129,32187,62316,1695,1686,3381,65697,3091,2131,5222,338,373,711,5933,3135,379,3514,305,21,326,46325,44036,90361,1643,1529,3172,93533,3064,3110,6174,117,163,280,6454,876,204,1080,479,53,532,14232,13363,27595,1148,973,2121,29716,158,1031,1189,7,135,142,1331
ŞANLIURFA,1977,273,2250,1307,77,1384,32861,31207,64068,1367,1146,2513,66581,345,2152,2497,11,217,228,2725,5128,1266,6394,225,71,296,74749,65022,139771,15425,6166,21591,161362,Din Öğretimi,13263,13860,27123,0,0,0,27123,Mesleki ve Teknik Ortaöğretim,25493,15889,41382,8051,2704,10755,52137,Genel Ortaöğretim,65491,50579,116070,7374,3462,10836,126906,4299,3694,7993,841,628,1469,9462,6464,432,6896,743,33,776,110704,108997,219701,2744,2059,4803,224504,5540,7036,12576,188,248,436,13012,1977,273,2250,1307,77,1384,32861,31207,64068,1367,1146,2513,66581,345,2152,2497,11,217,228,2725
KİLİS,173,33,206,96,10,106,2768,2727,5495,171,150,321,5816,47,205,252,0,50,50,302,484,94,578,29,4,33,6460,6224,12684,267,173,440,13124,Din Öğretimi,1686,2107,3793,0,0,0,3793,Mesleki ve Teknik Ortaöğretim,2555,1280,3835,154,99,253,4088,Genel Ortaöğretim,3876,4212,8088,113,74,187,8275,478,423,901,26,31,57,958,665,32,697,44,4,48,8909,8638,17547,206,123,329,17876,516,684,1200,13,16,29,1229,173,33,206,96,10,106,2768,2727,5495,171,150,321,5816,47,205,252,0,50,50,302
OSMANİYE,422,123,545,226,36,262,6799,6302,13101,703,653,1356,14457,71,593,664,8,115,123,787,1329,303,1632,70,31,101,20772,18712,39484,1670,1277,2947,42431,Din Öğretimi,2302,2683,4985,0,0,0,4985,Mesleki ve Teknik Ortaöğretim,10105,5417,15522,501,237,738,16260,Genel Ortaöğretim,12687,14221,26908,1169,1040,2209,29117,1563,1065,2628,253,231,484,3112,1535,174,1709,122,16,138,20036,19039,39075,980,804,1784,40859,1393,1489,2882,114,119,233,3115,422,123,545,226,36,262,6799,6302,13101,703,653,1356,14457,71,593,664,8,115,123,787
